index,location,Lat,Lon,USA
112,"Portland, Oregon",45.5051064,-122.6750261,1
113,"Hammond, Louisiana",30.5043583,-90.4611995,1
114,VA,36.0985705,-94.1571128,1
115,earth,37.2321077,-95.7243335,1
116,Western NewYork,43.3447295,-75.3878525,1
117,"Philadelphia, USA",39.9525839,-75.1652215,1
118,"Ohio, USA",40.4172871,-82.907123,1
119,"Manhattan, Malibu",40.7059182,-74.0017501,1
120,"Province of Leningrad, Russia",60.0793208,31.8926645,0
121,"On the tundra in Rochester, Minnesota",43.9591064,-92.4639739,1
122,"Arizona, USA",34.0489281,-111.0937311,1
123,"Allahabad, India",25.4358011,81.846311,0
124,"Lucknow, India",26.8466937,80.946166,0
125,"Amethi, India",26.1540538,81.814238,0
126,aburoad,24.4640731,72.7717775,0
127,"Gorakhpur, India",26.7605545,83.3731675,0
128,"Kunda, Pratapgarh उत्तर प्रदेश",25.717531,81.521241,0
129,"Pune University, India",18.5523618,73.826655,0
130,"Meerut, UP, INDIA",28.9844618,77.7064137,0
131,"Bhilwara, India",25.3407388,74.6313183,0
132,"Kota Surabaya, Jawa Timur",-7.2574719,112.7520883,0
133,up India (बाशिंदा बिहार का,26.8467088,80.9461592,0
134,Kent G.B. 🇬🇧,51.2787075,0.5217254,0
135,Scotland,56.4906712,-4.2026458,0
136,"Uttar Pradesh, India",26.8467088,80.9461592,0
137,"Kolkata, India",22.572646,88.363895,0
138,"FIROZABADUttar Pradesh, India",27.1591961,78.3957331,0
139,"Kaushambi, India",25.361054,81.4031707,0
140,Bhubaneswar,20.2960587,85.8245398,0
141,Philadelphia,39.9525839,-75.1652215,1
142,"Scienceville, NC",41.1136691,-80.6167405,1
143,"ÜT: 38.975121,-76.888847",30.2849185,-97.7340567,1
144,"Kentucky, USA",37.8393332,-84.2700179,1
145,"Gaithersburg, MD",39.1439689,-77.2016062,1
146,U.K.,55.378051,-3.435973,0
147,Noida,28.5355161,77.3910265,0
148,Ohio & Michigan,41.5811111,-83.545,1
149,"Hoboken, NJ",40.7439905,-74.0323626,1
150,The Gem State Idaho,44.0682019,-114.7420408,1
151,Texas,31.9685988,-99.9018131,1
152,"Boothbay Harbor, Maine",43.8523045,-69.6281014,1
153,"Kansas, USA",39.011902,-98.4842465,1
154,"Traverse City, MI",44.7630567,-85.6206317,1
155,"Seattle, WA",47.6062095,-122.3320708,1
156,"Champaign/Urbana, Il",40.1164204,-88.2433829,1
157,"Windsor Locks, CT",41.9242917,-72.6454469,1
158,"Perry,NY",42.7156175,-78.0055618,1
159,Canton Ohio,40.7989473,-81.378447,1
160,"Fort Worth, Texas",32.7554883,-97.3307658,1
161,Traverse City Michigan,44.7630567,-85.6206317,1
162,"Dallas, TX",32.7766642,-96.7969879,1
163,"Woodmore, MD",38.9212228,-76.8030259,1
164,Covering the Globe,,,
165,Eastern Washington,47.4910283,-117.5862361,1
166,Cavern Country,29.6924095,-98.3427276,1
167,"Sullivan's Island, SC",32.7632323,-79.8367511,1
168,"Chicago, IL",41.8781136,-87.6297982,1
169,"Springfield MO, dreams it could MI again.",37.2089572,-93.2922989,1
170,Xavier University,29.9641088,-90.107647,1
171,"Swing States, USA",,,
172,Exchange Road Haveli Lakha,30.4457557,73.7006414,0
173,"Hazratganj, Lucknow, India",26.8541536,80.9447827,0
174,"San Diego, CA",32.715738,-117.1610838,1
175,minnesota,46.729553,-94.6858998,1
176,"Alabama, Biotch! ",32.3182314,-86.902298,1
177,Montreal • New York • London,45.5060854,-73.5536023,0
178,"Raleigh, NC",35.7795897,-78.6381787,1
179,"Orange County, CA",33.7174708,-117.8311428,1
180,"Denver, CO",39.7392358,-104.990251,1
181,"Houston, TX",29.7604267,-95.3698028,1
182,"Wisconsin, USA",43.7844397,-88.7878678,1
183,"Los Angeles, CA",34.0522342,-118.2436849,1
184,United States🇺🇸,,,
185,Liberty Avenue,40.6838023,-73.8335179,1
186,ARIZONA,34.0489281,-111.0937311,1
187,"Pondicherry, India",11.9415524,79.8082865,0
188,"British Columbia, Canada",53.7266683,-127.6476205,0
189,"Scotland, United Kingdom",56.4906712,-4.2026458,0
190,"Sydney, Australia",-33.8688197,151.2092955,0
191,Planet Earth,38.253749,-78.458708,1
192,"St Kew Highway, Cornwall",50.546835,-4.781343,0
193,"San Jose, CA",37.3382082,-121.8863286,1
194,"18 Lalbazar St. Kolkata-1,WB",22.5726036,88.3523827,0
195,"Faridabad, India",28.4089123,77.3177894,0
196,Fredericton,45.9635895,-66.6431151,0
197,"Bellflower, CA",33.8816818,-118.1170117,1
198,"Helsinki, Finland",60.1698557,24.9383791,0
199,"Deerfield Beach, FL",26.3184123,-80.0997657,1
200,"South Haven, MI",42.4030865,-86.2736407,1
201,Manila ,14.5995124,120.9842195,0
202,"White Plains, NY",41.0339862,-73.7629097,1
203,"Al Ain, UAE ",24.1301619,55.8023118,0
204,"Bridgeport, WV",39.2864787,-80.2561981,1
205,USA/TN,35.5174913,-86.5804473,1
206,"Miami, Florida",25.7616798,-80.1917902,1
207,"Phenix City, AL",32.4709761,-85.0007653,1
208,"Lacey, Washington",47.0358969,-122.8232553,1
209,"Seattle, WA, USA",47.6062095,-122.3320708,1
210,Blue in red state turning blue,37.09024,-95.712891,1
211,"Owerri, Nigeria",5.489059,7.0175879,0
212,244 E. 93rd St. - 212-860-1950,40.7824416,-73.9490695,1
213,"Orlando, FL",28.5383355,-81.3792365,1
214,"Sudbury Ontario, Canada",46.4917317,-80.993029,0
215,Duke University,36.0014258,-78.9382286,1
216,"Bronx, NY",40.8447819,-73.8648268,1
217,"Berlin, Germany",52.5200066,13.404954,0
218,Gotham City,41.8838802,-87.6317328,1
219,United Kingdom,55.378051,-3.435973,0
220,kahin ka nahi,,,
221,Haagse Bloemenbuurt,52.0759228,4.2600138,0
222,"MoCo, Maryland",39.1547426,-77.2405153,1
223,"New York, New York",40.7127753,-74.0059728,1
224,South Florida,27.6648274,-81.5157535,1
225,Philly suburbs,39.9541282,-75.1668627,1
226,"Rajkot, Gujarat",22.3038945,70.8021599,0
227,London UK,51.5073509,-0.1277583,0
228,"East Olympia, WA",46.9675972,-122.8356906,1
229,New York ,40.7127753,-74.0059728,1
230,Pacific Northwest,41.8796763,-87.6356055,1
231,"Tucson, Arizona",32.2226066,-110.9747108,1
232,"Argyll, Scotland, UK",56.4006214,-5.480748,0
233,"Tucson, AZ",32.2226066,-110.9747108,1
234,Planeta Tierra,,,
235,#StGeorge~#StatenIsland~#NYC,40.6427017,-74.0799469,1
236,Oklahoma,35.4675602,-97.5164276,1
237,not too far from Normal ,37.684036,-97.316727,1
238,London and Dubai,51.4988754,-0.1349611,0
239,"Washington, D.C.",38.9071923,-77.0368707,1
240,NY,40.7127753,-74.0059728,1
241,"Des Moines, IA",41.5868353,-93.6249593,1
242,"Southampton, England",50.9097004,-1.4043509,0
243,"Bend, Oregon",44.0581728,-121.3153096,1
244,This side of the Wardrobe,,,
245,"North East, England",,,
246,New Mexico,34.5199402,-105.8700901,1
247,Bermuda,32.3078,-64.7505,0
248,"Rajkot, India",22.3038945,70.8021599,0
249,"Cerritos, CA",33.8583483,-118.0647871,1
250,"Columbia, SC",34.0007104,-81.0348144,1
251,"Gillette, WY",44.2910915,-105.5022205,1
252,"Maryland, USA",39.0457549,-76.6412712,1
253,"Islamabad, Pakistan",33.6844202,73.0478848,0
254,SLC UT,40.7607793,-111.8910474,1
255,Japan,36.204824,138.252924,0
256,Nairobi,-1.2920659,36.8219462,0
257,"Detroit, MI",42.331427,-83.0457538,1
258,"Gurgaon, Haryana",28.4594965,77.0266383,0
259,"Ice Bunker, Varykino",,,
260,اسی دُنیا کے کسی کونے میں,,,
261,الارض الكروية,,,
262,London,51.5073509,-0.1277583,0
263,"Odo-Ijoka , Akure.",7.2648979,5.1934634,0
264,"West Bengal, India",22.9867569,87.8549755,0
265,"Berkeley, CA",37.8715226,-122.273042,1
266,anywhere Belle face,,,
267,Colchester,51.895927,0.891874,0
268,"Queens, NY",40.7282239,-73.7948516,1
269,"Chandigarh, India",30.7333148,76.7794179,0
270,"Schenectady, NY",42.8142432,-73.9395687,1
271,"Michigan, USA",44.3148443,-85.6023643,1
272,everywhere,,,
273,"Las Vegas, NV",36.1699412,-115.1398296,1
274,"Nagpur, India",21.1458004,79.0881546,0
275,"Nashville, TN",36.1626638,-86.7816016,1
276,"Fredericksburg, VA",38.3031837,-77.4605399,1
277,"Nebraska, USA",41.4925374,-99.9018131,1
278,Earth,37.2321077,-95.7243335,1
279,"North West, England",,,
280,"Genoa, Liguria",44.4056499,8.946256,0
281,"Yorkshire and The Humber, Engl",53.9062233,-1.0333573,0
282,Cork,32.80719,-96.7963929,1
283,Pennsylvania,41.2033216,-77.1945247,1
284,"Honolulu, Hawaii",21.3069444,-157.8583333,1
285,Northern NJ  USA,40.9262762,-74.07701,1
286,"Papillion, NE",41.1544432,-96.0422378,1
287,"San Francisco, CA",37.7749295,-122.4194155,1
288,"Sutton, London",51.3614279,-0.193961,0
289,"Los Ángeles, Chile",-37.4629159,-72.3612251,0
290,"London, Glasgow, Los Angeles ",51.5073509,-0.1277583,0
291,Ontario,51.253775,-85.323214,0
292,"Missouri, USA",37.9642529,-91.8318334,1
293,"Wexford & Dublin, Ireland",53.3369895,-6.2656309,0
294,"Atlanta, GA",33.7489954,-84.3879824,1
295,"Sacramento, CA",38.5815719,-121.4943996,1
296,Miles away 🇺🇸,,,
297,"Pennsylvania, USA",41.2033216,-77.1945247,1
298,Makwanpur- Heatauda,27.4367653,85.0025539,0
299,"columbia, south carolina",34.0007104,-81.0348144,1
300,Colorado ,39.5500507,-105.7820674,1
301,Wurundjeri land,,,
302,"Buffalo, NY",42.8864468,-78.8783689,1
303,#NY27 ,43.0550212,-78.4751945,1
304,"Tampa Bay, FL",27.763383,-82.5436722,0
305,Thailand,15.870032,100.992541,0
306,Asean,34.047863,100.6196553,0
307,"Pattaya, Thailand",12.9235557,100.8824551,0
308,Glasgow,55.864237,-4.251806,0
309,"Brooklyn, NY",40.6781784,-73.9441579,1
310,"Sherwood Park, Alberta",53.5411916,-113.2957355,0
311,Twittersphere,,,
312,Heartland of America,44.8578989,-93.5930392,1
313,"Alexandria, VA",38.8048355,-77.0469214,1
314,"Oklahoma, USA",35.0077519,-97.092877,1
315,"Chicago, IL, USA",41.8781136,-87.6297982,1
316,"Massachusetts, USA",42.4072107,-71.3824374,1
317,Madison WI,43.0730517,-89.4012302,1
318,"Austin, TX",30.267153,-97.7430608,1
319,"Mahikeng, North West Province",-25.855978,25.64031,0
320,"Honolulu, HI",21.3069444,-157.8583333,1
321,Germany,51.165691,10.451526,0
322,"Portland, OR",45.5051064,-122.6750261,1
323,"Nunya, biz",41.7507461,-83.6264044,1
324,India,20.593684,78.96288,0
325,Matlosana,-26.8617937,26.5137964,0
326,"Brighton, England",50.82253,-0.137163,0
327,"Ipswich, UK",52.056736,1.14822,0
328,Texas and Ireland,52.6512214,-7.2526422,0
329,"Travelling, Australia",29.5166169,-98.4968724,1
330,Halifax,44.6475811,-63.5727683,0
331,University of Stirling,56.1454119,-3.9205713,0
332,"Randburg, South Africa",-26.1438399,27.9951862,0
333,kasi,42.025296,-93.616235,1
334,"New Jersey, USA",40.0583238,-74.4056612,1
335,"1622 Sackville Dr, MSackville",44.7943582,-63.7229813,0
336,"South Africa ,Mpumalanga",-25.565336,30.5279096,0
337,Newyork city,40.7127753,-74.0059728,1
338,"Austin, Texas",30.267153,-97.7430608,1
339,"Lena, IL",42.3794586,-89.8223426,1
340,Wherever I lay my hat....,,,
341,Wisconsin,43.7844397,-88.7878678,1
342,"Virginia Beach, VA",36.8529263,-75.977985,1
343,"Ottawa, Ontario, Canada",45.4215296,-75.6971931,0
344,"Newtown Square, PA",39.9868904,-75.4007058,1
345,Creative Space 🚀 ,,,
346, New York ,40.7127753,-74.0059728,1
347,"Cincinnati, OH",39.1031182,-84.5120196,1
348,GTA Ontario,44.0383744,-79.1999949,0
349,"49.497753,7.593849",49.4978135,7.5939716,0
350,www.mp-magic.com,22.9734229,78.6568942,0
351,Lancing & Basse Normandie,50.828179,-0.328092,0
352,Florida,27.6648274,-81.5157535,1
353,UK,55.378051,-3.435973,0
354,Somewhere in the Mitten,,,
355,The Island of Manhattan,40.6894501,-74.016792,1
356,Wordwide,40.0421401,-76.3888087,1
357,The Resistance,33.8140467,-117.9231874,1
358,"College Station, TX",30.627977,-96.3344068,1
359,Hamilton Canada,43.2557206,-79.8711024,0
360,Sweden / Nigeria / Malawi / UK,,,
361,"Ontario, Canada",51.253775,-85.323214,0
362,"Coney Island, NY",40.5755438,-73.9707016,1
363,California,36.778261,-119.4179324,1
364,"Custer, SD",43.7666507,-103.5988057,1
365,"Phoenix, AZ 🌵🌵🌵",33.6024875,-112.0334781,1
366,"Green Valley, AZ",31.8542511,-110.9937019,1
367,"Zurich, Switzerland",47.3768866,8.541694,0
368,Above ground wearing my mask!,,,
369,Midwest,36.1320074,-96.0108839,1
370,KS,39.011902,-98.4842465,1
371,"Moreno Valley, CA",33.9424658,-117.2296717,1
372,House of Burlesque,41.8786946,-71.3860349,1
373,Kirriemuir,56.675117,-3.003501,0
374,EMEA,,,
375,iran,32.427908,53.688046,0
376,"Rio de Janeiro, Rio de Janeiro",-22.9068467,-43.1728965,0
377,"Jaipur, India",26.9124336,75.7872709,0
378,Rothbury Northumberland,55.310464,-1.909547,0
379,Tamworth uk,52.633584,-1.691032,0
380,South Carolina,33.836081,-81.1637245,1
381,New Kaon,,,
382,northern California,38.8375215,-120.8958242,1
383,at the edge of a universe,,,
384,"Alsbach-Hähnlein, Germany",49.7365976,8.585234,0
385,sean | they/them | white,38.8976763,-77.0365298,1
386,Left Coast,41.8848234,-87.6351433,1
387,"Palm Beach Gardens, FL",26.8396096,-80.1019144,1
388,Green Dolphin Street Prison,27.2861584,-80.2230583,1
389,parts unknown,36.4012251,-93.7378443,1
390,Retweets=FYI,,,
391,"Providence, Rhode Island",41.8239891,-71.4128343,1
392,North East Ohio,41.2617873,-81.1637245,1
393,"Bend, OR",44.0581728,-121.3153096,1
394,"B.C, Canada",53.7266683,-127.6476205,0
395,"22, Ontario Canada ",43.0043287,-81.8143427,0
396,The Fort ,40.7577165,-96.6456541,1
397,"a stable, somewhere",,,
398,missing my gf ,,,
399,Dallas ,32.7766642,-96.7969879,1
400,Tipperary/Galway/Dublin,52.4747264,-8.1544426,0
401,"Tulsa, OK, cis, he/him",36.1539816,-95.992775,1
402,A Cat Loving Man from the U.S.A. ★ #CatsAreBeautifulSouls,,,
403,Aqui,,,
404,5th Ave.,47.6108256,-122.3357286,1
405,"Sanford, FL",28.8028612,-81.269453,1
406,A nightmare/USA. Same thing,,,
407,"Philadelphia, PA",39.9525839,-75.1652215,1
408,"ÜT: 39.286517,-76.736633",30.2849185,-97.7340567,1
409,1•20•18,,,
410,"Creston , California ",35.5188572,-120.5236187,1
411,Essex,51.5742447,0.4856781,0
412,wherever the birds are,,,
413,"Battle Ground, WA",45.7807959,-122.5477298,1
414,"Puerto Rico, USA",18.220833,-66.590149,0
415,Honduras,15.199999,-86.241905,0
416,"Arlington Heights, IL",42.0883603,-87.9806265,1
417,Salt Lake City ,40.7607793,-111.8910474,1
418,Liverpool,32.6563146,-115.4765659,0
419,Cleveland OH,41.49932,-81.6943605,1
420,"Birmingham, AL",33.5185892,-86.8103567,1
421,Chapel Hill,35.9131996,-79.0558445,1
422,"ÜT: 19.721221,-155.089138",30.2849185,-97.7340567,1
423,idk,36.3704707,-94.1049083,1
424,"Stoke-on-Trent, England",53.002668,-2.179404,0
425,"Fairport, NY",43.0986742,-77.4419378,1
426,i: li-wri ⛧ he/she 20,,,
427,Michigan,44.3148443,-85.6023643,1
428,"Seoul, Republic of Korea",37.566535,126.9779692,0
429,"Phoenix, Arizona",33.4483771,-112.0740373,1
430,No room for racism!,,,
431,"Las Vegas, NV, USA, NA, Earth",36.2896518,-115.2098042,1
432,Brooklyn,40.6781784,-73.9441579,1
433,Oregon,43.8041334,-120.5542012,1
434,"Kenmore, New York",42.9658907,-78.870036,1
435,A la campagne,46.837789,-71.2218521,0
436,Chicago IL,41.8781136,-87.6297982,1
437,"Huntington Beach, CA",33.6594835,-117.9988026,1
438,Buffalo,42.8864468,-78.8783689,1
439,Somewhere Beyond the Sea ,,,
440,Haunting the GOP's nightmares.,,,
441,Mars,39.1313169,-94.5207881,1
442,Portugal,39.399872,-8.224454,0
443,Washington DC,38.9071923,-77.0368707,1
444,they/them,,,
445,"Doha, Qatar",25.2854473,51.5310398,0
446,"Palm Bay, FL",28.0344621,-80.5886646,1
447,"Reno, NV",39.5296329,-119.8138027,1
448,"Chattanooga, TN",35.0456297,-85.3096801,1
449,"Staten Island, NY",40.5795317,-74.1502007,1
450,"Albany, NY",42.6525793,-73.7562317,1
451,CA,36.778261,-119.4179324,1
452,"Phoenix, AZ",33.4483771,-112.0740373,1
453,"ÜT: 18.007282,-76.786823",30.2849185,-97.7340567,1
454,"Golden Isles, GA",31.135505,-81.394712,1
455,Hyrule fkin' Castle,,,
456,"Indiana, USA",40.2671941,-86.1349019,1
457,Between other cats,,,
458,Kokovoko,,,
459,"Minneapolis, MN ",44.977753,-93.2650108,1
460,"Beaverton, OR",45.4888761,-122.8013771,1
461,"Pittsburgh, PA",40.4406248,-79.9958864,1
462,"Savannah, GA",32.0808989,-81.091203,1
463,Morocco,31.791702,-7.09262,0
464,🇩🇪,,,
465,"Cleveland, OH",41.49932,-81.6943605,1
466,"Dix Hills, NY",40.8048207,-73.3362298,1
467,"bay area, ca",37.8271784,-122.2913078,1
468,"Minneapolis, USA",44.977753,-93.2650108,1
469,Guam,13.444304,144.793731,0
470,"Louisville, KY",38.2526647,-85.7584557,1
471,Seattle,47.6062095,-122.3320708,1
472,streaming folklore ✨,,,
473,where ever I wanna be,,,
474,A Lot Of Places All The Time,,,
475,"Santurce, PR/Bklyn NY/Mass",18.4481441,-66.0641969,0
476,The nearest trashcan ,29.712269,-95.620647,1
477,"Nevada, USA",38.8026097,-116.419389,1
478,"South Bend, IN",41.6763545,-86.2519898,1
479,🖤💙,,,
480,Along the Ring of Fire ,,,
481,California-World,34.0502401,-117.2611637,1
482,Lockdown BE. ,,,
483,Wakanda,44.9030233,-91.920983,1
484,12 : 11 ♡,,,
485,"Bangkok, Thailand",13.7563309,100.5017651,0
486,Internet,37.0373074,-95.6163664,1
487,New York - Los Angeles - Miami,40.741286,-73.9873577,1
488,"Knoxville, TN",35.9606384,-83.9207392,1
489,FL,27.6648274,-81.5157535,1
490,มโนแลนด์,,,
491,Shawnee National Forest,37.5021953,-88.9403753,1
492,"กรุงเทพมหานคร, ประเทศไทย",13.7563309,100.5017651,0
493,"Shakopee, MN",44.7973962,-93.5272861,1
494,MI,36.1678242,-94.1394496,1
495,she/they,,,
496,Ciudad de Hashi.,,,
497,The Tardis,44.2722703,-92.9953202,1
498,Little Rock,34.7464809,-92.2895948,1
499,Fluffalo/LDN ✈️/New Yaaaawk,40.7127753,-74.0059728,1
500,"Indianapolis, IN",39.768403,-86.158068,1
501,Flavortown,,,
502,"USA, Earth",,,
503, New York,40.7127753,-74.0059728,1
504,#StayZen,,,
505,"Daly City, CA",37.6879241,-122.4702079,1
506,Odd/Lucky | 19 | they/he/thy,29.753421,-95.407249,1
507,"Georgia, USA",32.1656221,-82.9000751,1
508,"El Paso, Texas",31.7618778,-106.4850217,1
509,my lane,44.0088358,-123.0365018,1
510,"Jupiter, FL",26.9342246,-80.0942087,1
511,Lying on the floor,,,
512,New York/ California,33.9928728,-118.1628414,1
513,Lekwungen Territory,,,
514,kittyzen,,,
515,Pittsburgh,40.4406248,-79.9958864,1
516,Somewhere,38.8756313,-77.006195,1
517,"Mesa, AZ",33.4151843,-111.8314724,1
518,"Toronto, Canada ",43.653226,-79.3831843,0
519,KCMO,39.0997265,-94.5785667,1
520,"Aurangabad, India",19.8761653,75.3433139,0
521,Brownsville/Dallas,32.7160374,-96.7492207,1
522,ดาวมากรัก,,,
523,AlwaysYu,,,
524,In the middle of the ocean,,,
525,"Wisbech, United Kingdom",52.666317,0.158797,0
526,"Wichita, Kansas",37.6871761,-97.330053,1
527,Ayutthaya Thailand,14.3692325,100.5876634,0
528,JPmobage • danmei • animanga,,,
529,Argentina,-38.416097,-63.616672,0
530,"Stanford, CA",37.424106,-122.1660756,1
531,Nicosia,35.1855659,33.3822764,0
532,"Mount Hope, NY",41.4513121,-74.5346103,1
533,"Chennai, India",13.0826802,80.2707184,0
534,"Syracuse, UT",41.0893878,-112.0646657,1
535,I draw & try to sub J&A too!,,,
536,GoldenCloset,,,
537,"Salem, OR",44.9428975,-123.0350963,1
538,Thailand (chiangmai),18.7883439,98.9853008,0
539,"Toronto, Canada",43.653226,-79.3831843,0
540,Portland/Rockville/Vegas,45.5051064,-122.6750261,1
541,"Baltimore, MD",39.2903848,-76.6121893,1
542,갓세븐,,,
543,#blacklivesmatter,,,
544,Globe  Az,33.3942223,-110.7864984,1
545,"South-West Finland, Finland",60.3627914,22.4439369,0
546,AZ,34.0489281,-111.0937311,1
547,from Hell,40.7609253,-73.9889693,1
548,Texas - 38 EC Votes,31.9685988,-99.9018131,1
549,"Kingman, AZ",35.189443,-114.0530065,1
550,she/they • 19 • TKG ♡,,,
551,"Bengaluru South, India",12.9715987,77.5945627,0
552,"ÜT: 14.0693127,100.6133882",30.2849185,-97.7340567,1
553,"London, UK",51.5073509,-0.1277583,0
554,"Maplewood, NJ",40.7299793,-74.271992,1
555,brazil,-14.235004,-51.92528,0
556,"Lower Saxony, Germany",52.6367036,9.8450766,0
557,This world,43.5807824,-79.6154316,0
558,"the internet, bitch",,,
559,Flowers lives by depression 🌷,,,
560,San Diego,32.715738,-117.1610838,1
561,"Charleston, SC",32.7764749,-79.9310512,1
562,"New York City | Madrd, Spain",40.76116,-73.968093,1
563,"वाराणसी, भारत",25.3176452,82.9739144,0
564,MINORS FUCK OFF,,,
565,Saint Colomban,45.7399955,-74.1378547,0
566,COMMISSIONS OPEN 5/5,,,
567,"Goa, India",15.2993265,74.123996,0
568,Somewhere idk,,,
569,jimin’s heart✨🐥,,,
570, MI USA,44.3148443,-85.6023643,1
